caso,variabile,anno,valore
osservato,produzione_lorda,2012,29232.151
osservato,consumo_privato,2012,11065.391
osservato,investimento_E,2012,979.968
osservato,investimento_S,2012,461.451
osservato,investimento_N,2012,655.697
osservato,investimento_R,2012,432.014
osservato,produzione_lorda,2013,29888.3702
osservato,consumo_privato,2013,11221.41039
osservato,investimento_E,2013,1040.300973
osservato,investimento_S,2013,467.9013577
osservato,investimento_N,2013,694.3590635
osservato,investimento_R,2013,486.640999
osservato,produzione_lorda,2014,30756.33925
osservato,consumo_privato,2014,11485.59399
osservato,investimento_E,2014,1120.873196
osservato,investimento_S,2014,519.2513389
osservato,investimento_N,2014,736.3419464
osservato,investimento_R,2014,508.1175307
osservato,produzione_lorda,2015,31442.76287
osservato,consumo_privato,2015,11875.06634
osservato,investimento_E,2015,1162.908353
osservato,investimento_S,2015,515.2587226
osservato,investimento_N,2015,771.8410725
osservato,investimento_R,2015,562.3000943
osservato,produzione_lorda,2016,32015.74003
osservato,consumo_privato,2016,12189.77949
osservato,investimento_E,2016,1160.192713
osservato,investimento_S,2016,494.6712135
osservato,investimento_N,2016,845.5307864
osservato,investimento_R,2016,602.4324513
osservato,stock_E,2012,5482.556292
osservato,stock_S,2012,12034.73719
osservato,stock_N,2012,2308.266901
osservato,stock_R,2012,16320.95131
osservato,stock_E,2013,5697.245
osservato,stock_S,2013,12111.938
osservato,stock_N,2013,2392.597
osservato,stock_R,2013,16352.383
osservato,stock_E,2014,5939.767384
osservato,stock_S,2014,12201.77995
osservato,stock_N,2014,2486.697176
osservato,stock_R,2014,16463.18883
osservato,stock_E,2015,6224.30194
osservato,stock_S,2015,12338.34192
osservato,stock_N,2015,2591.449439
osservato,stock_R,2015,16592.58793
osservato,stock_E,2016,6509.75935
osservato,stock_S,2016,12467.24791
osservato,stock_N,2016,2698.174801
osservato,stock_R,2016,16773.35508
osservato,stock_E,2017,6754.034715
osservato,stock_S,2017,12574.478
osservato,stock_N,2017,2838.099865
osservato,stock_R,2017,16989.36543
O2,produzione_lorda,2012,29097.79959
O2,consumo_privato,2012,12133.50661
O2,investimento_E,2012,230.4953178
O2,investimento_S,2012,152.3635457
O2,investimento_N,2012,0
O2,investimento_R,2012,1302.479727
O2,produzione_lorda,2013,30033.55992
O2,consumo_privato,2013,12550.0954
O2,investimento_E,2013,447.0495495
O2,investimento_S,2013,430.9155454
O2,investimento_N,2013,107.1952828
O2,investimento_R,2013,660.1794093
O2,produzione_lorda,2014,30937.97425
O2,consumo_privato,2014,12916.59533
O2,investimento_E,2014,597.7614833
O2,investimento_S,2014,748.4924718
O2,investimento_N,2014,332.7204345
O2,investimento_R,2014,0
O2,produzione_lorda,2015,31796.51624
O2,consumo_privato,2015,13451.61789
O2,investimento_E,2015,821.7789939
O2,investimento_S,2015,211.2761563
O2,investimento_N,2015,524.4825642
O2,investimento_R,2015,0
O2,produzione_lorda,2016,32516.23605
O2,consumo_privato,2016,13676.28391
O2,investimento_E,2016,1382.330053
O2,investimento_S,2016,363.0663832
O2,investimento_N,2016,1161.438481
O2,investimento_R,2016,0
O2,stock_E,2012,5482.556292
O2,stock_S,2012,12034.73719
O2,stock_N,2012,2308.266901
O2,stock_R,2012,16320.95131
O2,stock_E,2013,4947.474058
O2,stock_S,2013,11813.51618
O2,stock_N,2013,1730.535101
O2,stock_R,2013,17246.06549
O2,stock_E,2014,4709.007242
O2,stock_S,2014,11874.44278
O2,stock_N,2014,1435.263749
O2,stock_R,2014,17507.48929
O2,stock_E,2015,4647.466685
O2,stock_S,2015,12243.07575
O2,stock_N,2015,1436.138446
O2,stock_R,2015,17102.68916
O2,stock_E,2016,4817.879011
O2,stock_S,2016,12061.29562
O2,stock_N,2016,1595.224147
O2,stock_R,2016,16707.24864
O2,stock_E,2017,5482.556292
O2,stock_S,2017,12034.73719
O2,stock_N,2017,2308.266901
O2,stock_R,2017,16320.95131
limite_10%,produzione_lorda,2012,29725.5409
limite_10%,consumo_privato,2012,11990.97951
limite_10%,investimento_E,2012,800.2444265
limite_10%,investimento_S,2012,370.1757876
limite_10%,investimento_N,2012,563.1110016
limite_10%,investimento_R,2012,420.5636451
limite_10%,produzione_lorda,2013,30501.49051
limite_10%,consumo_privato,2013,12297.0025
limite_10%,investimento_E,2013,720.2199838
limite_10%,investimento_S,2013,334.2723081
limite_10%,investimento_N,2013,506.7999015
limite_10%,investimento_R,2013,428.3959442
limite_10%,produzione_lorda,2014,31140.94642
limite_10%,consumo_privato,2014,12795.5102
limite_10%,investimento_E,2014,678.5619537
limite_10%,investimento_S,2014,367.6995389
limite_10%,investimento_N,2014,456.1199113
limite_10%,investimento_R,2014,385.5563498
limite_10%,produzione_lorda,2015,31676.8458
limite_10%,consumo_privato,2015,13307.54912
limite_10%,investimento_E,2015,746.418149
limite_10%,investimento_S,2015,404.4694928
limite_10%,investimento_N,2015,440.2679529
limite_10%,investimento_R,2015,347.0007148
limite_10%,produzione_lorda,2016,32440.78729
limite_10%,consumo_privato,2016,13630.80432
